sequence,v115@vhHa+IOkBfoBzkBUrBFsBSyBxuB,v115@vhHzBJ6oBcpB3lB+sBKtBlrBRvB,v115@vhHaHJTjB/pBUlBFmBWtBSwBxxB,v115@vhHOEJymBfoBzkBUrBFsBSyBxuB,v115@vhH6EJziBKpBcqB3mB+tBlsBRwB,v115@vhHOEJUjBRlBFnB3pBCrBSxBTtB,v115@vhHyFJfnBTjBKpBUqBFrBGtBRxB,v115@vhHyFJfnBziBKpBUqBFrBGtBRxB,v115@vhHa9IfnBziBKpBUqBFrBGtBRxB,v115@vhHa9IfnBTjBKpBUqBFrBGtBRxB,v115@vhH66IKfBcqB3mB+tBTpBlsBRwB,v115@vhHT1I6kBKpBcqB3mB+tBlsBRwB,v115@vhHT5I6oBcpB3lB+sBKtBlrBRvB,v115@vhH6+IKjBcpB3lB+sBlrBTtBRvB,v115@vhH5+IejBfnBKpBUqBFrBSxBTtB,v115@vhHc+IfnBSoB2pBFrBSxBTtBxuB,v115@vhHa7IqfBcqB3mB+tBTpBlsBRwB,v115@vhHa+IfoBOpB8pBzlBFsBSyBxvB,v115@vhHyCJfmBKpBzmBUoBFqBWyBRwB,v115@vhHqAJzfBfoB2pBUrBFsBSyBxuB,v115@vhHSAJfoBOpB8pBzlBFsBSyBxvB,v115@vhHz/IfmBqmBKpBUoBFqBWyBRwB,v115@vhH5FJzhBfoB0kBKrB2uBFsBSyB,v115@vhHK6IfoBOpB8pBzlBFsBSyBxvB,v115@vhHS8IumBKpBdrBTnB/tBUqBRxB,v115@vhHS+IfmB5oBaqBdtBTpBWwBUsB,v115@vhH26IZkB8mBtpBznB3qBywBSyB,v115@vhHSAJZkBupBFmB0nB6tBTqB3rB,v115@vhHcAJ6kBKpBFmBxnBTqB3rBGtB,v115@vhHcAJTfBFmBxnBipBSvB3rBGtB,v115@vhHK6IfnBziBKpBUqBFrBGtBRxB,v115@vhHK6IOlBfoBTkBUrBFsBSyBxuB,v115@vhHK6IfnBTjBKpBUqBFrBGtBRxB,v115@vhHG5IdoB5oBTkBilB3mBSvB0sB,v115@vhHi1IZkBtkBUmBasBGoBXqBzsB,v115@vhHZ6IufBfoBKqBTpBUrBFsBSyB,v115@vhH26ITfBfoBypBUrBFsBSyBxuB,v115@vhHS+I8kB6oBznB2uBlqB3rBxxB,v115@vhHK7IOkBfoBzkBUrBFsBSyBxuB,v115@vhHm4I9nB/oBxkB0mBTpBiqByxB,v115@vhH01IKfBNqBRmBCoBTpBmrBXtB,v115@vhHT/I8lBynB+tBipBlrB3sBRvB,v115@vhHT/IWmBfoBypBUrBFsBSyBxuB,v115@vhH8EJymB6oBznB2uBlqB3rBxxB,v115@vhHSCJfmBKpBzmBUoBFqBWyBRwB,v115@vhHcCJfmBqmBKpBusBFqBTtBRwB,v115@vhH01IKfBNqBarBWsBxnBTpBXtB,v115@vhHK/I8lBzhB+tBipBlrB3sBRvB,v115@vhHK/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHK/IihBcqB3mB+tBTpBlsBRwB,v115@vhH5+IfiBikBFmBUoBCqBzrBWyB,v115@vhHfCJikBFmBusBctBCqBzrB5oB,v115@vhH88I/nB5oBikBFmBetBCqBzrB,v115@vhH2/I5oBTkBllBUnBatByuBXrB,v115@vhHZ/IukBSoBllBUnByuBXrBTtB,v115@vhHSDJZkBupB3lBFnB6tB0rBzsB,v115@vhHK/I0gBfoB2qBTpBFsBSyBxvB,v115@vhHSGJcnBTjBKpBFqBXrBGtBRxB,v115@vhHfHJGjBKpBUmBznBFqBSyBRwB,v115@vhHfHJCjBKpBUmBToBFqBWyBRwB,v115@vhHi/I8lBaqB3mB+tBTpBlsBRwB,v115@vhHKEJzfB8lB3mB+tByuBlsBRwB,v115@vhHZ6IfiBUlBFmBGoBTpBCsByxB,v115@vhHfCJikBFmBusBctBCqBzrBZkB,v115@vhHX5I+jBikBRmB9sBCqB0rBTtB,v115@vhHcBJ/pBaqBWrBFnB6tBzsBRwB,v115@vhHcBJikBWrBFnBXoBzpBSyBRwB,v115@vhH/BJTkBllByrBusBctByuBRwB,v115@vhH/BJ0kBllByrBqsBToB2uBRwB,v115@vhHWCJ5jB/pBUlBFmB6sBKtBzrB,v115@vhHZ/IygB+pBTlBlmB3nBctByvB,v115@vhHyAJxkBlmB3nBctBmpBzqBKpB,v115@vhH5/IWjBKpB/qBUmBFnB6tBzsB,v115@vhHq/IfjB5oBKpBUmBFnBGqBzsB,v115@vhHy/IZjBTkBllB3mBcsB+tByuB,v115@vhH8/IZkBllB3mBGoBzpBisBKtB,v115@vhHT8IymBfoB2pBUrBFsBSyBxuB,v115@vhHOBJCiBKpBTnB/tBUqBFrBRxB,v115@vhH6BJXgB8lBStBTpB2vBlrBxxB,v115@vhH6BJ8kBzgBStB2uBlqB3rBxxB,v115@vhH6BJKlBzgBcpB+tBlrB3sBRvB,v115@vhHfDJ8kB5oBCnB2uBlqBywBzsB,v115@vhH8/IZkBfoBTlBKrBWvBFsBSyB,v115@vhHy/IfoBOpB8pBzlBFsBSyBxvB,v115@vhHuAJzfBKmBKpB/tBFqB0sBRwB,v115@vhHz8IUjBikBFmBXnBCqBGtBRxB,v115@vhHi1IZkBtkBUmBasBznB+tBXqB,v115@vhHSDJ8mB3kBzlB+tByuBlsBRwB,v115@vhHqCJ0fBfnB2pBFrBSxBTtBxuB,v115@vhHKDJ0fBfnB2pBFrBSxBTtBxuB,v115@vhHfAJqlB8mBTkB+tByuBlsBRwB,v115@vhH8CJfmBZnBKpBToBFqBSwBWyB,v115@vhH8CJfmBenBKpB6tBFqBzsBRwB,v115@vhH+BJ/oBaqBqqB0nBTpBlrBxxB,v115@vhHKBJckBXlBesBznBFrBSyBxuB,v115@vhHKBJWlBKpBTnB/tBUqBFrBRxB,v115@vhH2BJfoBTkBilBUrBFsBSyBxuB,v115@vhHSBJ8kBzmBftB6tB2uBlqBxwB,v115@vhH8/IqiBZkBllB3mBStBzpB2xB,v115@vhH8/I5iBKkBllB3mBToByuB2xB,v115@vhH8/IZkBllB3mBGoBzpBisBqsB,v115@vhHZAJWjBTkBUmBFnBXoBSvBSyB,v115@vhH8/IKkB+nBllB3mBToByuBRxB,v115@vhHWDJKlBTkBUmBFnBXoBSyBRvB,v115@vhHfDJ5oBikBUmBFnBCqBzsB2vB,v115@vhH32I8gBikBlmBGoBRqBywBzsB,v115@vhH+/IzhBfoBypBUrBFsBSyBxuB,v115@vhHq/IzhBfoB2pBUrBFsBSyBxuB,v115@vhHq/IzhB+nBKpB/tBUqBFrBRxB,v115@vhH+/IfnB0iBypBFrBSxBTtBxuB,v115@vhHq/IfnB0iB2pBFrBSxBTtBxuB,v115@vhHKDJigBcpB3lB+sBlrBTtBRvB,v115@vhHKDJXgB8lB+sBipBlrBTtBRvB,v115@vhH2CJqlBKpBzkBlmB3nBctBxwB,v115@vhHSAJenB/pBUlBFmBCoBTtBxvB,v115@vhHeDJfnBKpBRlBUqBFrBSxBTtB,v115@vhHq/I8lBzhB+tBipBlrB3sBRvB,v115@vhHq/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHq/IihBcqB3mB+tBTpBlsBRwB,v115@vhHZDJzgBWnBKpBUqBFrBXsBSyB,v115@vhH8/IqnB/oB2pBllBzmByvBRxB,v115@vhHfDJckB2lBFnBStBzpBCrBxwB,v115@vhHfDJzfB2pBUmBFnBStBSvBxwB,v115@vhHfDJUgBTkByqBFnBStBWxBRvB,v115@vhHfDJikBUmBFnBStBGqBzpBxwB,v115@vhHWDJykBzgBFnBXoB0pBxqBSyB
ZTOJSLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOSILJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTOSIJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTOSLIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOSLJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTOSJIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZTOSJLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITLJSO,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZITLJOS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZITLSJO,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O
ZITLSOJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZITLOJS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZITLOSJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZITJLSO,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZITJLOS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZITJSLO,X,O,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZITJSOL,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZITJOLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
ZITJOSL,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZITSLJO,X,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZITSLOJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZITSJLO,X,O,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZITSJOL,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZITSOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZITSOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZITOLJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZITOLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZITOJLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZITOJSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZITOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZITOSJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZILTJSO,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZILTJOS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZILTSJO,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O
ZILTSOJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZILTOJS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZILTOSJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZILJTSO,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,O,O,X,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
ZILJTOS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
